"uid","namedLocation","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","plotID","collectDate","processedDate","laboratoryName","sampleID","sampleCode","biomassID","internalLabID","batchID","testProtocolVersion","freshMass","freezeDryMass","c8To0Concentration","c10To0Concentration","c11To0Concentration","lipid2OH10To0Concentration","c12To0Concentration","c13To0Concentration","lipid2OH12To0Concentration","lipid3OH12To0Concentration","c14To1Concentration","c14To0Concentration","i14To0Concentration","i15To0Concentration","aC15To0Concentration","c15To0Concentration","c15To1Concentration","lipid2OH14To0Concentration","lipid3OH14To0Concentration","i16To0Concentration","cis16To1n9Concentration","c16To1Cis11Concentration","c16To0Concentration","lipid10Methyl16To0Concentration","i17To0Concentration","c17To1Concentration","cyclo17To0Concentration","c17To0Concentration","c17To0AnteisoConcentration","lipid2OH16To0Concentration","lipid10Methyl17To0Concentration","c18To3n6Concentration","cis18To2n912Concentration","cis18To1n9Concentration","trans18To1n9Concentration","trans18To2n912Concentration","c18To3n3Concentration","c18To1n11Concentration","c18To0Concentration","lipid10Methyl18To0Concentration","cyclo19To0Concentration","c19To0Concentration","c19To1Cis10Concentration","c20To4n6Concentration","c20To5n3Concentration","c20To3n6Concentration","c20To2Concentration","c20To1Concentration","c20To3n3Concentration","c20To0Concentration","c21To0Concentration","c22To2Concentration","c22To1n9Concentration","c22To0Concentration","c22To6CisConcentration","c23To0Concentration","c24To1Concentration","c24To0Concentration","totalLipidConcentration","extractionEfficiency","extractEffStdConc","processedBy","reviewedBy","remarks","analysisResultsQF","dataQF","publicationDate"
"44c4521d-89ed-4827-837b-12589bd4743f","TOOL_005.basePlot.bgc","D18","TOOL",68.560148,-149.528532,"WGS84",20.1,834.7,0.1,"TOOL_005",2017-07-21 18:21:00,2018-05-02,"EcoCore_CSU","TOOL_005-M-16.5-0-20170721",NA,"TOOL_005-M-16.5-0-20170721-BM","B5-86","20180502 set 5B","EcoCore_PLFA_SOP_v1",1.82,0.96,0,0,0,0,0,0.64,0,1.36,0,1.66,0,5.84,3.88,1.52,0,0,0,2.91,0,1.66,19.38,0,0,0,3.69,0.97,29.16,0,3.32,0,0,4.73,0,0,1.35,8.73,4.59,2.03,4.18,NA,0,0,0,0,0,0,0,3.47,NA,0,0,12.48,0,1.01,0,17.91,136.46,13.64,6.39,"gBjiWWJpRwN5aMvHerCkcw==","n1ZvJKzEEAM=",NA,NA,"alaskaDeprecatedMethod","20201008T132517Z"
"57928a2c-d005-4a0b-b176-4728e7253ea4","TOOL_005.basePlot.bgc","D18","TOOL",68.560148,-149.528532,"WGS84",20.1,834.7,0.1,"TOOL_005",2017-07-21 19:13:00,2019-01-23,"EcoCore_CSU","TOOL_005-O-31.5-6-20170721",NA,"TOOL_005-O-31.5-6-20170721-BM","B13-4","20190123 Set 13-1 Re-Rerun","EcoCore_PLFA_SOP_v2",0.48,0.07,0,0,0,0,0,0,0,0,0,24.35,0,55.48,27.94,14.73,0,0,0,25.78,108.63,39.82,224.05,13.23,0,0,32.52,32.99,18.48,0,57.75,0,253.45,122.44,0,0,39.82,158.08,30.99,10.84,0,NA,33.35,8.5,9.77,0,0,0,0,18.17,NA,0,0,32.46,0,18.39,0,36.36,1448.38,10.5,9.97,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=",NA,NA,"alaskaDeprecatedMethod","20201008T132517Z"
"e91bbadf-fe8b-4bdb-972d-5ab23f212d1e","TOOL_006.basePlot.bgc","D18","TOOL",68.622127,-149.280182,"WGS84",20.1,931.5,0.1,"TOOL_006",2017-07-21 19:14:00,2019-01-23,"EcoCore_CSU","TOOL_006-O-39-35-20170721",NA,"TOOL_006-O-39-35-20170721-BM","B13-22","20190123 Set 13-1 Re-Rerun","EcoCore_PLFA_SOP_v2",0.4,0.08,0,0,0,0,0,0,26.53,0,0,26.18,0,78.72,37.46,20.04,0,0,0,45.78,158.71,71.35,227.95,18.55,0,0,42.01,32.48,20.4,0,90.61,14,125.95,207.34,21.1,18.62,32.86,266.69,38.48,24.1,12.64,NA,87.12,7.72,8.67,0,0,0,0,17.37,NA,0,0,27.16,0,16.09,0,31.06,1853.77,9.86,9.37,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","<10% extraction efficiency",NA,"alaskaDeprecatedMethod","20201008T132517Z"
"89499bd3-105e-4369-8714-685aa9a94da9","TOOL_006.basePlot.bgc","D18","TOOL",68.622127,-149.280182,"WGS84",20.1,931.5,0.1,"TOOL_006",2017-07-21 19:28:00,2018-05-02,"EcoCore_CSU","TOOL_006-M-39-35-20170721",NA,"TOOL_006-M-39-35-20170721-BM","B5-83","20180502 set 5B","EcoCore_PLFA_SOP_v1",1.87,1.19,0,0,0,0,0,0.35,0,0,0,1.01,0,4.64,4.02,1.19,0,0,0,1.37,4.57,0.8,12.48,0,0,0,2.84,0.87,27.14,0,2,0,0,2.36,0,0,0.51,5.14,4,0,2.94,NA,0,0,0,0,0,0,0,6.16,NA,0,0,48.36,0,1.22,0,67.92,201.91,18.06,5.19,"gBjiWWJpRwN5aMvHerCkcw==","n1ZvJKzEEAM=",NA,NA,"alaskaDeprecatedMethod","20201008T132517Z"
"d31873bb-a80c-4d65-ad64-d36a39c526c7","TOOL_006.basePlot.bgc","D18","TOOL",68.622127,-149.280182,"WGS84",20.1,931.5,0.1,"TOOL_006",2017-07-21 19:59:00,2018-05-02,"EcoCore_CSU","TOOL_006-O-34-17.5-20170721",NA,"TOOL_006-O-34-17.5-20170721-BM","B5-87","20180502 set 5B","EcoCore_PLFA_SOP_v1",1.86,1.48,0,0,0,0,0,0.36,2.73,1.22,0,2.92,0,13.85,10.23,2.42,0,0,0,4.19,17.14,5.29,32.28,1.26,0,0,11.02,0,28.17,0,7.16,0,1.28,13.09,2.07,1.97,1.88,28.26,7.11,1.9,6.38,NA,0,0.56,0.42,0,0,0,0,2.61,NA,0,0,11.11,0,1.03,0,24.84,244.76,24.97,4.16,"gBjiWWJpRwN5aMvHerCkcw==","n1ZvJKzEEAM=",NA,NA,"alaskaDeprecatedMethod","20201008T132517Z"
"613d00b0-a802-4959-aa85-50a9e0dad4d6","TOOL_005.basePlot.bgc","D18","TOOL",68.560148,-149.528532,"WGS84",20.1,834.7,0.1,"TOOL_005",2017-07-21 20:06:00,2019-01-23,"EcoCore_CSU","TOOL_005-M-4.5-20.5-20170721",NA,"TOOL_005-M-4.5-20.5-20170721-BM","B13-14","20190123 Set 13-1 Re-Rerun","EcoCore_PLFA_SOP_v2",1.58,1.17,0,0,0,0,0,0,0,0,0,1.38,0,3.66,1.86,0.76,0,0,0,2.47,5.84,2.16,9.54,0.88,0,0,1.53,1.83,0.88,0,4.92,0.86,6.88,9.11,0,0.61,1.62,6.13,1.82,0.92,0,NA,3.2,0.47,0.54,0,0,0,0,1.01,NA,0,0,2,0,0.98,0,2.79,76.62,5.46,5.19,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","<10% extraction efficiency",NA,"alaskaDeprecatedMethod","20201008T132517Z"
"2a77e909-59a3-4015-9b89-de28c475b00c","TOOL_006.basePlot.bgc","D18","TOOL",68.622127,-149.280182,"WGS84",20.1,931.5,0.1,"TOOL_006",2017-07-21 21:05:00,2018-05-03,"EcoCore_CSU","TOOL_006-O-11.5-5.5-20170721",NA,"TOOL_006-O-11.5-5.5-20170721-BM","B6-22","20180503 set 6","EcoCore_PLFA_SOP_v1",2,0.3,0,0,0,0,2.76,0,0,4.49,0,8.43,9.66,37.38,34.14,5.24,0,0,0,10.77,40.46,8.63,69.26,3.32,0,0,20.87,3.15,0,0,21.18,0,0,28.21,6.22,0,2.81,61,12.2,5.77,12.63,NA,0,0,0,0,0,0,0,5.33,NA,0,0,14.45,0,2.51,0,17.51,448.37,12.61,20.87,"gBjiWWJpRwN5aMvHerCkcw==","n1ZvJKzEEAM=",NA,NA,"alaskaDeprecatedMethod","20201008T132517Z"
"f28cee45-1691-4aff-8a32-9fdeb34cc783","TOOL_002.basePlot.bgc","D18","TOOL",68.627943,-149.347229,"WGS84",20.1,843.8,0.1,"TOOL_002",2017-07-21 23:02:00,2019-01-23,"EcoCore_CSU","TOOL_002-O-9.5-21.5-20170721",NA,"TOOL_002-O-9.5-21.5-20170721-BM","B13-11","20190123 Set 13-1 Re-Rerun","EcoCore_PLFA_SOP_v2",0.42,0.09,0,0,0,0,0,0,12.83,0,0,16.57,0,21.49,19.72,7.77,0,0,0,9.97,32.3,11.86,58.3,0,0,0,18.59,0,7.54,0,18.1,0,22.14,32.39,0,0,9.6,62.15,16.15,0,0,NA,25.2,0,0,0,0,0,0,11.58,NA,0,0,22.9,0,11.39,0,29.12,477.67,12.35,11.74,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=",NA,NA,"alaskaDeprecatedMethod","20201008T132517Z"
"2cdf105d-a527-46da-801f-964899b6ff22","TOOL_001.basePlot.bgc","D18","TOOL",68.585776,-149.54318,"WGS84",20.1,804.5,0.1,"TOOL_001",2017-07-21 23:05:00,2018-09-13,"EcoCore_CSU","TOOL_001-O-7-18-20170721",NA,"TOOL_001-O-7-18-20170721-BM","12-55-rerun","20180913 set 12b reruns","EcoCore_PLFA_SOP_v1",1.82,0.29,0,0,0,0,0,5.3,0,0,0,11.42,0,42.33,24.4,4.86,0,0,0,16.17,59.09,18.48,65.2,5.63,0,0,16.69,0,0,0,30.78,0,14.38,47.84,0,4.59,6.28,74.07,15.9,6.08,0,NA,16.61,0,0,0,0,0,0,9,NA,0,0,28.92,0,7.7,7.67,52.08,591.48,10.92,21.09,"gBjiWWJpRwN5aMvHerCkcw==","n1ZvJKzEEAM=",NA,NA,"alaskaDeprecatedMethod","20201008T132517Z"
"63374e0d-2a21-4bc8-ab95-54b9094f51c5","TOOL_001.basePlot.bgc","D18","TOOL",68.585776,-149.54318,"WGS84",20.1,804.5,0.1,"TOOL_001",2017-07-21 23:31:00,2018-05-09,"EcoCore_CSU","TOOL_001-M-7-18-20170721",NA,"TOOL_001-M-7-18-20170721-BM","B7-13","20180509 set 7","EcoCore_PLFA_SOP_v1",1.8,0.9,0,0,0,0,0,0,5.15,0,0,3.97,0,15.29,11.01,1.96,0,0,0,3.82,20.35,6.4,24.73,0,0,1.83,9.37,1.08,0,0,9.31,0,3.05,12.51,2.11,1.67,1.3,30.36,5.51,1.43,8.9,NA,0,0,0,0,0,0,0,2.85,NA,0,0,10.22,0,1.46,1.85,17.13,214.63,25.4,6.86,"gBjiWWJpRwN5aMvHerCkcw==","n1ZvJKzEEAM=",NA,NA,"alaskaDeprecatedMethod","20201008T132517Z"
