"uid","namedLocation","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","plotID","collectDate","processedDate","laboratoryName","sampleID","sampleCode","biomassID","internalLabID","batchID","testProtocolVersion","freshMass","freezeDryMass","c8To0Concentration","c10To0Concentration","c11To0Concentration","lipid2OH10To0Concentration","c12To0Concentration","c13To0Concentration","lipid2OH12To0Concentration","lipid3OH12To0Concentration","c14To1Concentration","c14To0Concentration","i14To0Concentration","i15To0Concentration","aC15To0Concentration","c15To0Concentration","c15To1Concentration","lipid2OH14To0Concentration","lipid3OH14To0Concentration","i16To0Concentration","cis16To1n9Concentration","c16To1Cis11Concentration","c16To0Concentration","lipid10Methyl16To0Concentration","i17To0Concentration","c17To1Concentration","cyclo17To0Concentration","c17To0Concentration","c17To0AnteisoConcentration","lipid2OH16To0Concentration","lipid10Methyl17To0Concentration","c18To3n6Concentration","cis18To2n912Concentration","cis18To1n9Concentration","trans18To1n9Concentration","trans18To2n912Concentration","c18To3n3Concentration","c18To1n11Concentration","c18To0Concentration","lipid10Methyl18To0Concentration","cyclo19To0Concentration","c19To0Concentration","c19To1Cis10Concentration","c20To4n6Concentration","c20To5n3Concentration","c20To3n6Concentration","c20To2Concentration","c20To1Concentration","c20To3n3Concentration","c20To0Concentration","c21To0Concentration","c22To2Concentration","c22To1n9Concentration","c22To0Concentration","c22To6CisConcentration","c23To0Concentration","c24To1Concentration","c24To0Concentration","totalLipidConcentration","extractionEfficiency","extractEffStdConc","processedBy","reviewedBy","remarks","analysisResultsQF","dataQF","publicationDate"
"52647005-6729-4643-afa5-18006eb114aa","HARV_002.basePlot.bgc","D01","HARV",42.478565,-72.259572,"WGS84",20.12,193.6,0.1,"HARV_002",2018-04-17 14:09:00,2019-12-10,"EcoCore_CSU","HARV_002-M-9.5-1.5-20180417","A00000001239","HARV_002-M-9.5-1.5-20180417-BM","B12-15","20191210 Set 12-1","EcoCore_PLFA_SOP_v2",1.54,0.25,0,0,0,0,0,0,9.82,0,0,0,0,9.08,3.74,0,0,0,0,2.29,6.67,4.6,16.76,0,1.28,0,5.49,0.16,0.99,0,0,0,8.36,10.13,4.2,0,0.01,21.61,8.6,0,0.74,NA,24.46,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.4,139.38,11.44,10.87,"i5Sqb/E/lt+PX2YA7Vy14Q==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"0","20200602T135424Z"
"5d328ece-194d-4f14-aee1-553e60dde228","HARV_002.basePlot.bgc","D01","HARV",42.478565,-72.259572,"WGS84",20.12,193.6,0.1,"HARV_002",2018-04-17 14:55:00,2019-03-29,"EcoCore_CSU","HARV_002-O-34.5-24-20180417","A00000001236","HARV_002-O-34.5-24-20180417-BM","B4-20","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.55,0.22,0,0,0,0,7.82,0,0,0,9.76,8.44,0,23.85,3.17,5.48,0,0,6.12,12.16,28.45,8.86,48.28,4.12,0,3.45,11.23,4.73,0,0,16.42,3.87,24.69,60.11,7.74,3.47,5.4,26.4,11.28,3.22,0.73,NA,44.85,3.67,3.61,0,0,3.09,0,4.87,NA,0,3.43,9.45,0,3.49,3.9,11.97,441.58,6.46,6.13,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"1","20200602T135424Z"
"7f60f728-33f3-4149-8161-d5f16d3c3732","HARV_002.basePlot.bgc","D01","HARV",42.478565,-72.259572,"WGS84",20.12,193.6,0.1,"HARV_002",2018-04-17 14:55:00,2019-03-29,"EcoCore_CSU","HARV_002-M-34.5-24-20180417","A00000001238","HARV_002-M-34.5-24-20180417-BM","B4-5","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",1.61,1.16,0,0,0,0,0,0,1.21,0,0,1.29,0,1.63,1.25,0.56,0,0,0.91,1.02,1.87,1.36,3.31,0.6,0,0.56,1.13,0.62,0,0,1.6,0,0.66,2.72,1.08,0,0.57,4.18,1.35,0.43,0.07,NA,3.94,0.54,0,0,0,0,0,0.81,NA,0,0,1.27,0,0.58,0.66,1.45,39.23,8.88,8.44,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"1","20200602T135424Z"
"45988a82-311b-4a67-af4d-8a7879983f9b","HARV_002.basePlot.bgc","D01","HARV",42.478565,-72.259572,"WGS84",20.12,193.6,0.1,"HARV_002",2018-04-17 15:07:00,2019-03-29,"EcoCore_CSU","HARV_002-O-28.5-1.5-20180417","A00000001234","HARV_002-O-28.5-1.5-20180417-BM","B4-19","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.4,0.15,0,0,0,0,10.86,0,8.36,0,13.31,11.25,0,26.28,5.17,5.64,0,0,7.98,15.91,29.15,13.76,45.42,5.68,0,4.69,12.19,5.66,0,0,21.15,5.94,13.96,43.01,8.13,4.83,6.11,30.72,12.88,4.68,42.38,NA,0,4.8,4.58,0,0,4.17,0,6.6,NA,0,4.92,11.38,0,4.84,5.5,13.53,475.42,8.86,8.42,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"1","20200602T135424Z"
"cace7f59-4e3a-4717-ba6d-8fcb38bd6abe","HARV_002.basePlot.bgc","D01","HARV",42.478565,-72.259572,"WGS84",20.12,193.6,0.1,"HARV_002",2018-04-17 15:07:00,2019-12-10,"EcoCore_CSU","HARV_002-M-28.5-1.5-20180417","A00000001237","HARV_002-M-28.5-1.5-20180417-BM","B12-47","20191210 Set 12-1","EcoCore_PLFA_SOP_v2",1.73,1.21,0,0,0,0,0,0,2.18,0,0,0,0,1.6,0.49,0,0,0,0,0.67,1.01,0.93,3.5,0,0.43,0,0.72,0,0.33,0,0,0,2.2,2.13,1.03,0,0,3.1,3.96,0,0.14,NA,3.78,0,0,0,0,0,0,0,NA,0.02,0,0,0,0,0,0.36,28.57,9.13,8.67,"i5Sqb/E/lt+PX2YA7Vy14Q==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"1","20200602T135424Z"
"cfca8337-c4cb-4338-803f-869180dd9bc2","HARV_005.basePlot.bgc","D01","HARV",42.489469,-72.275158,"WGS84",20.12,189.8,0.3,"HARV_005",2018-04-17 16:36:00,2019-03-29,"EcoCore_CSU","HARV_005-O-12.5-38-20180417","A00000001247","HARV_005-O-12.5-38-20180417-BM","B4-28","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.46,0.1,0,0,0,0,0,0,0,0,10.71,14.6,0,16.19,5.72,7.74,0,0,9.32,12.8,19.19,10.39,41.88,6.13,0,6.03,10.54,7.45,6.81,0,16.77,6.62,23.54,40.05,7.72,0,7.29,19.48,14.97,5.42,26.29,NA,0,7.53,7.37,0,0,5.42,0,9.27,NA,0,0,15.25,0,6.57,7.43,14.71,427.18,6.92,6.58,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"1","20200602T135424Z"
"420dd1f9-c805-4cfa-95f4-6d883c408595","HARV_005.basePlot.bgc","D01","HARV",42.489469,-72.275158,"WGS84",20.12,189.8,0.3,"HARV_005",2018-04-17 17:09:00,2019-03-29,"EcoCore_CSU","HARV_005-M-12.5-38-20180417","A00000001242","HARV_005-M-12.5-38-20180417-BM","B4-3","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.54,0.36,0,0,0,0,0,0,2.38,0,0,3.98,0,2.76,2.46,1.65,0,0,3.01,2.24,3.16,2.34,7.51,1.68,0,1.66,2.14,1.75,0,0,3.11,0,1.71,5.56,2.34,0,1.85,6,3.74,1.64,0,NA,4.56,1.7,1.35,0,0,0,0,2.59,NA,0,0,4.04,0,1.73,2.16,3.79,86.6,16.32,NA,"rUeC9FKLF++ShCmd4KlxGg==","UUHyUZEFXsxB8sFGg5Hhww==","Simpson",NA,"c19:0 and c21:0 are spiked internal standards","20200602T135424Z"
"9955d95b-33bb-4ecf-82f2-69512b874fc5","HARV_021.basePlot.bgc","D01","HARV",42.45243,-72.250472,"WGS84",20.1,175.1,0.1,"HARV_021",2018-04-17 17:16:00,2019-03-29,"EcoCore_CSU","HARV_021-O-1-22.5-20180417","A00000001283","HARV_021-O-1-22.5-20180417-BM","B4-35","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.51,0.23,0,0,0,0,6.82,2.96,3.9,0,5.18,6.53,0,10.96,0,3.13,0,0,4.39,8.11,10.47,3.99,19.05,3.49,0,2.76,4.73,3.07,3.42,0,14.14,3.36,8.49,19.22,3.62,0,2.66,8.4,7.05,3.05,17.09,NA,0,3.08,2.7,0,0,2.5,0,4.34,NA,0,3.08,7.53,0,2.91,3.33,8.07,227.59,5.82,5.53,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"1","20200602T135424Z"
"365cffcb-9e1d-4d84-ad31-b0d808829261","HARV_005.basePlot.bgc","D01","HARV",42.489469,-72.275158,"WGS84",20.12,189.8,0.3,"HARV_005",2018-04-17 17:24:00,2019-10-31,"EcoCore_CSU","HARV_005-O-36-21-20180417","A00000001245","HARV_005-O-36-21-20180417-BM","B12-49","20191031 Set 12-2","EcoCore_PLFA_SOP_v2",0.72,0.4,0,0,0,0,0,0,7.23,0,0,0,0,7.07,2.01,0,0,0,0,2.77,5.92,2.27,11.6,0,0,0,1.81,0.03,0.38,0,0,0,5.82,14.28,0.82,0,0.09,6.51,2.75,0,2.6,15.39,12.95,0.31,0.34,0,0,0,0,0,11.61,0.02,0,0.11,0,0,0,0.95,115.66,15.01,14.26,"i5Sqb/E/lt+PX2YA7Vy14Q==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards","0",NA,"20200602T135424Z"
"bf0001ca-ebef-4a74-acea-98e339ea6540","HARV_005.basePlot.bgc","D01","HARV",42.489469,-72.275158,"WGS84",20.12,189.8,0.3,"HARV_005",2018-04-17 17:24:00,2019-03-29,"EcoCore_CSU","HARV_005-O-36-21-20180417","A00000001245","HARV_005-O-36-21-20180417-BM","B4-7","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.55,0.37,0,0,0,0,0,0,2.62,0,0,3.83,0,2.87,2.51,1.56,0,0,0,2.24,3.16,2.28,6.78,1.62,0,1.62,2.03,1.77,0,0,3.15,0,0.62,5.23,2.38,0,1.59,5.57,3.62,1.56,0,NA,5.03,1.63,1.28,0,0,0,0,2.47,NA,0,0,3.89,0,1.75,2.14,3.84,80.62,16.39,NA,"NBe+g1xX2haGpU+cCaPzqQ==","UUHyUZEFXsxB8sFGg5Hhww==","Simpson",NA,"c19:0 and c21:0 are spiked internal standards","20200602T135424Z"
"dc289254-3b03-48e5-8f05-f32483eef087","HARV_021.basePlot.bgc","D01","HARV",42.45243,-72.250472,"WGS84",20.1,175.1,0.1,"HARV_021",2018-04-17 17:26:00,2019-03-29,"EcoCore_CSU","HARV_021-M-1-22.5-20180417","A00000001262","HARV_021-M-1-22.5-20180417-BM","B4-11","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.58,0.49,0,0,0,0,0,0,0,0,0,2.83,0,1.65,1.45,1.1,0,0,1.74,1.32,1.74,1.31,4.16,0,0,0,1.26,0,0,0,1.57,0,0.95,2.83,0,0,0,3.89,2.5,1.04,1.55,NA,0,0,0,0,0,0,0,1.9,NA,0,0,2.96,0,1.28,0,2.76,41.78,8.78,8.34,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"1","20200602T135424Z"
"cca3ec4f-c6a1-49eb-91f7-e1acf6096a4a","HARV_021.basePlot.bgc","D01","HARV",42.45243,-72.250472,"WGS84",20.1,175.1,0.1,"HARV_021",2018-04-17 17:43:00,2019-03-29,"EcoCore_CSU","HARV_021-O-16.5-6-20180417","A00000001282","HARV_021-O-16.5-6-20180417-BM","B4-38","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.49,0.16,0,0,0,0,0,0,4.73,0,6.89,9.43,0,11.5,3.7,4.45,0,0,5.97,9.28,11.69,5.93,21.41,4.47,0,3.95,6.08,4.06,0,0,13.87,5.19,7.69,20.66,4.71,4.03,3.99,11.37,9.1,4.06,17.58,NA,0,4.33,3.49,0,0,3.56,0,6.07,NA,0,0,10.09,0,4.14,0,8.92,256.4,10.29,9.78,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"1","20200602T135424Z"
"51574795-edbf-40bb-ab35-a2c43900a3cb","HARV_005.basePlot.bgc","D01","HARV",42.489469,-72.275158,"WGS84",20.12,189.8,0.3,"HARV_005",2018-04-17 17:48:00,2019-03-29,"EcoCore_CSU","HARV_005-M-21.5-5.5-20180417","A00000001246","HARV_005-M-21.5-5.5-20180417-BM","B4-2","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.57,0.35,0,0,0,0,0,0,2.49,0,0,4.08,0,3.57,2.62,1.86,0,0,3.2,2.7,4.15,2.67,8.36,1.77,0,1.77,2.52,1.94,0,0,4.07,0,1.5,7.78,2.58,0,1.72,6.29,3.96,1.7,0,NA,6.25,1.78,1.43,0,0,0,0,2.72,NA,0,0,4.33,0,1.85,2.19,4.01,97.85,11.01,NA,"dNBLq59Kd4YkpviybCDv8A==","UUHyUZEFXsxB8sFGg5Hhww==","Simpson",NA,"c19:0 and c21:0 are spiked internal standards","20200602T135424Z"
"ffda06fe-ad73-4664-ab5b-b5b3b29c5845","HARV_021.basePlot.bgc","D01","HARV",42.45243,-72.250472,"WGS84",20.1,175.1,0.1,"HARV_021",2018-04-17 17:52:00,2019-03-29,"EcoCore_CSU","HARV_021-M-16.5-6-20180417","A00000001261","HARV_021-M-16.5-6-20180417-BM","B4-10","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",1.73,1.24,0,0,0,0,0,0,0.95,0,0,1.21,0,1.18,0.99,0.55,0,0,0.91,0.76,1.32,0.89,2.45,0.5,0,0.5,0.89,0,0,0,1.3,0,0.44,1.79,0.85,0,0,3.45,1.16,0.54,2.17,NA,0,0.49,0,0,0,0,0,0.76,NA,0,0,1.18,0,0,0.64,1.25,29.12,10.46,9.94,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"1","20200602T135424Z"
"c1e8a2fb-250d-4195-9d05-ad8430c72d0a","HARV_021.basePlot.bgc","D01","HARV",42.45243,-72.250472,"WGS84",20.1,175.1,0.1,"HARV_021",2018-04-17 18:10:00,2019-03-29,"EcoCore_CSU","HARV_021-O-28.5-1-20180417","A00000001281","HARV_021-O-28.5-1-20180417-BM","B4-34","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.63,0.33,0,0,0,0,4.65,0,2.66,2.65,3.7,4.53,0,6.58,1.83,2,0,0,2.2,3.67,7.19,2.99,11.43,2.01,0,1.87,3.63,0,2.43,0,5.87,1.98,3.29,9.51,2.28,1.88,1.84,14.9,4.48,1.63,0.24,NA,10.85,1.96,1.58,0,0,0,0,2.97,NA,0,0,4.78,0,2.05,2.29,4.72,145.14,10.61,NA,"U+xTZRgYwzLW29sqWFCXYw==","UUHyUZEFXsxB8sFGg5Hhww==","Simpson",NA,"c19:0 and c21:0 are spiked internal standards","20200602T135424Z"
"a269683a-cfa5-479f-b429-b00be7c8e76c","HARV_021.basePlot.bgc","D01","HARV",42.45243,-72.250472,"WGS84",20.1,175.1,0.1,"HARV_021",2018-04-17 18:21:00,2019-03-29,"EcoCore_CSU","HARV_021-M-28.5-1-20180417","A00000001260","HARV_021-M-28.5-1-20180417-BM","B4-9","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.63,0.53,0,0,0,0,0,0,1.95,0,0,2.67,0,2.1,1.85,1.11,0,0,2.16,1.72,2.41,1.72,5.2,1.19,1.01,1.16,1.67,0,0,0,2.3,0,0.72,3.53,1.7,0,1.12,4.94,2.59,1.09,0,NA,3.39,1.15,0,0,0,0,0,1.86,NA,0,0,2.84,0,1.24,1.53,2.73,60.63,16.63,NA,"8Fwfjxba+CiHrg9pKCGY1A==","UUHyUZEFXsxB8sFGg5Hhww==","Simpson",NA,"c19:0 and c21:0 are spiked internal standards","20200602T135424Z"
"c33f296f-1b2f-415d-b527-c997597227c1","HARV_013.basePlot.bgc","D01","HARV",42.392282,-72.254598,"WGS84",20.19,184.6,0.2,"HARV_013",2018-04-18 14:26:00,2019-03-29,"EcoCore_CSU","HARV_013-O-10.5-37-20180418","A00000001284","HARV_013-O-10.5-37-20180418-BM","B4-23","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.44,0.3,0,0,0,0,5.31,2.3,0,0,5.96,5.27,0,12.4,2.25,2.27,0,0,3.73,5.3,12.88,5.51,18.01,2.54,0,2.53,4.07,2.58,4.51,0,9.34,2.54,5.42,14.95,3.16,2.28,0,26.16,5.82,2.5,22.56,NA,0,2.41,2.03,0,0,1.92,0,3.29,NA,0,0,5.18,0,2.34,2.66,5.58,217.57,7.92,7.53,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"1","20200602T135424Z"
"ccbf257f-8858-4bb2-9ba8-4aafe84b1d1d","HARV_013.basePlot.bgc","D01","HARV",42.392282,-72.254598,"WGS84",20.19,184.6,0.2,"HARV_013",2018-04-18 14:33:00,2019-12-10,"EcoCore_CSU","HARV_013-M-10.5-37-20180418","A00000001263","HARV_013-M-10.5-37-20180418-BM","B12-28","20191210 Set 12-1","EcoCore_PLFA_SOP_v2",1.5,1.25,0,0,0,0,0,0,2.27,0,0,0,0,2.04,1,0,0,0,0,0.59,1.73,0.92,3.4,0,0.46,0,0.69,0,0.6,0,0,0,1.93,1.59,0.77,0,0.01,8.32,3.35,0.2,0.11,NA,4.65,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.06,34.7,14.98,14.23,"i5Sqb/E/lt+PX2YA7Vy14Q==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"0","20200602T135424Z"
"5dac76aa-1dca-41ba-9876-b5ed7174173b","HARV_033.basePlot.bgc","D01","HARV",42.538302,-72.175607,"WGS84",20.22,358.8,0.2,"HARV_033",2018-04-18 14:41:00,2019-03-29,"EcoCore_CSU","HARV_033-M-14.5-0-20180418","A00000001258","HARV_033-M-14.5-0-20180418-BM","B4-13","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.64,0.35,0,0,0,0,0,0,2.83,0,0,4.2,0,5.05,3.56,1.89,0,0,3.08,3.27,6.05,3.54,10.99,1.81,0,1.82,3.45,2.05,0,0,5.2,1.84,3.67,9.14,3.01,0,1.87,10.46,4.48,1.72,10.7,NA,0,1.87,1.52,0,0,0,0,2.7,NA,0,0,4.27,0,1.94,2.22,4.41,124.63,10.22,9.71,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"1","20200602T135424Z"
"319fb530-b582-4ec4-813a-200e3da613e7","HARV_013.basePlot.bgc","D01","HARV",42.392282,-72.254598,"WGS84",20.19,184.6,0.2,"HARV_013",2018-04-18 14:53:00,2019-03-29,"EcoCore_CSU","HARV_013-O-30-30.5-20180418","A00000001267","HARV_013-O-30-30.5-20180418-BM","B4-24","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.32,0.18,0,0,0,0,9.03,0,0,0,7.96,8.74,0,14.67,3.57,0,0,0,7.98,8.55,14.46,7.82,26.16,4.02,0,4.09,6.39,0,5.48,0,12.66,4.1,6.33,18.85,4.62,3.65,0,23.68,9.55,3.89,28.26,NA,0,3.66,2.9,0,0,0,0,5.85,NA,0,3.95,9.72,0,4.03,4.76,9.82,289.19,17.82,NA,"cUofnVA5yHwOVweD/Bx5Ag==","UUHyUZEFXsxB8sFGg5Hhww==","Simpson",NA,"c19:0 and c21:0 are spiked internal standards","20200602T135424Z"
"6ffda44c-f2d4-42b0-9f73-60a7b73d6088","HARV_013.basePlot.bgc","D01","HARV",42.392282,-72.254598,"WGS84",20.19,184.6,0.2,"HARV_013",2018-04-18 15:03:00,2019-03-29,"EcoCore_CSU","HARV_013-M-30-30.5-20180418","A00000001264","HARV_013-M-30-30.5-20180418-BM","B4-8","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",1.8,1.45,0,0,0,0,0,0,0.67,0,0,0.99,0,1.12,1.08,0.45,0,0,0.72,0.74,0.91,0.78,2.28,0.47,0.73,0.44,0.75,0.48,0,0,1.26,0,0.3,1.44,0.82,0,0,3.69,1.03,0.53,0,NA,1.96,0.42,0,0,0,0,0,0.66,NA,0,0,1.01,0,0.45,0.53,1.04,27.75,9.75,9.26,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"1","20200602T135424Z"
"16facb83-19aa-4be5-aeb5-17ef9c5d3c91","HARV_033.basePlot.bgc","D01","HARV",42.538302,-72.175607,"WGS84",20.22,358.8,0.2,"HARV_033",2018-04-18 15:14:00,2019-03-29,"EcoCore_CSU","HARV_033-O-0-32.5-20180418","A00000001241","HARV_033-O-0-32.5-20180418-BM","B4-33","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.48,0.15,0,0,0,0,10.75,4.48,6.86,0,10.47,10.25,0,20.14,4.17,4.54,0,0,7.16,10.83,19.9,10.29,29.01,5.33,0,4.46,7.5,5.07,7.12,0,17.78,5.61,8.09,36.28,7.9,4.23,4.21,19.44,11.76,4.28,39.65,NA,0,5.12,3.93,0,0,3.74,3.68,6.32,NA,0,4.85,10.25,4.44,4.56,5.2,10.64,400.32,9.3,8.83,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"1","20200602T135424Z"
"16aa450c-2ab5-4cdb-bcbf-4e3b1b5c3dcb","HARV_013.basePlot.bgc","D01","HARV",42.392282,-72.254598,"WGS84",20.19,184.6,0.2,"HARV_013",2018-04-18 15:15:00,2019-03-29,"EcoCore_CSU","HARV_013-O-24.5-7.5-20180418","A00000001266","HARV_013-O-24.5-7.5-20180418-BM","B4-25","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.45,0.32,0,0,0,0,4.97,2.08,4.14,0,6.1,5.2,0,13.71,2.12,2.35,0,0,3.71,6.04,16.19,6.6,21.3,2.66,0,2.79,5.62,0,5.56,0,8.75,2.14,4.18,19.68,4.24,2.46,2.02,46.79,6.12,2.5,32.14,NA,0,2.02,1.64,0,0,1.92,0,3.27,NA,0,2.27,5.26,0,2.34,2.54,5.79,269.23,12.39,NA,"5P0IHxQxEL831kncvn7i2w==","UUHyUZEFXsxB8sFGg5Hhww==","Simpson",NA,"c19:0 and c21:0 are spiked internal standards","20200602T135424Z"
"ce9b7d04-d803-47c3-84ce-6d2ad815328f","HARV_013.basePlot.bgc","D01","HARV",42.392282,-72.254598,"WGS84",20.19,184.6,0.2,"HARV_013",2018-04-18 15:27:00,2019-02-22,"EcoCore_CSU","HARV_013-M-24.5-7.5-20180418","A00000001265","HARV_013-M-24.5-7.5-20180418-BM","B1-33","20190222 Set 1 rerun","EcoCore_PLFA_SOP_v2",1.55,1.27,0,0,0,0,0,0,0,0,0,1.38,0,1.56,1.24,0.65,0,0,0.81,1.02,1.69,0.97,3.12,0.7,0,0.68,1.18,0,0,0,1.58,0,1.21,0.72,1,0,0.59,5.62,1.37,0.73,0,NA,3.03,0.58,0,0,0,0,0,1.04,NA,0,0,1.53,0,0.6,0,1.43,36.02,7.57,7.19,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"1","20200602T135424Z"
"77fe279c-332b-443e-823d-f679ee84b715","HARV_033.basePlot.bgc","D01","HARV",42.538302,-72.175607,"WGS84",20.22,358.8,0.2,"HARV_033",2018-04-18 15:30:00,2019-02-22,"EcoCore_CSU","HARV_033-M-0-32.5-20180418","A00000001259","HARV_033-M-0-32.5-20180418-BM","B1-36","20190222 Set 1 rerun","EcoCore_PLFA_SOP_v2",1.58,0.77,0,0,0,0,3.4,0,1.92,0,0,2.59,0,3.71,2.24,1.35,0,0,1.34,3.08,4.08,2.53,7.5,1.31,0,1.09,1.81,0,0,0,3.92,0,3.04,9.34,2.47,0,1.08,6.58,2.61,1.19,0,NA,13.95,1.04,0,0,0,0,0,0,NA,0,0,2.41,0,0,0,2.44,88.03,6.07,5.77,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"1","20200602T135424Z"
"7519dd8c-c8be-4554-a085-ec3f11ab576b","HARV_004.basePlot.bgc","D01","HARV",42.427091,-72.229737,"WGS84",20.19,199.7,0.2,"HARV_004",2018-04-18 16:22:00,2019-03-29,"EcoCore_CSU","HARV_004-O-0.5-26.5-20180418","A00000001248","HARV_004-O-0.5-26.5-20180418-BM","B4-17","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.44,0.2,0,0,0,0,8.44,0,6.95,0,0,8.54,0,19.78,9.63,4.11,0,0,6.95,11.85,20.97,10.38,32.62,4.47,0,3.68,8.61,4.21,0,0,16.67,0,15.12,31.62,6.63,3.39,4.17,28.37,9.64,3.86,0,NA,45.35,3.39,2.73,0,0,3.01,0,5.01,NA,0,0,8.5,0,3.49,4.17,9.12,365.43,11.11,NA,"hHSqB4IyMKRSaSS30TGkzg==","UUHyUZEFXsxB8sFGg5Hhww==","Simpson",NA,"c19:0 and c21:0 are spiked internal standards","20200602T135424Z"
"5ac95be8-24b9-43f7-959d-ebd43abd2b79","HARV_004.basePlot.bgc","D01","HARV",42.427091,-72.229737,"WGS84",20.19,199.7,0.2,"HARV_004",2018-04-18 16:31:00,2019-03-29,"EcoCore_CSU","HARV_004-M-0.5-26.5-20180418","A00000001231","HARV_004-M-0.5-26.5-20180418-BM","B4-4","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",1.58,0.99,0,0,0,0,0,0,1.22,0,0,1.5,0,2.04,1.59,0.66,0,0,1.01,1.19,2.4,1.42,4.14,0.72,0,0.66,1.52,0,0,0,2.18,0,0.77,2.75,1.32,0,0.67,7.1,1.6,0.76,0,NA,4.8,0.64,0,0,0,0,0,0.96,NA,0,0,1.5,0,0.68,0.77,1.65,48.23,8.65,8.22,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"1","20200602T135424Z"
"94c973bd-0179-482d-9e2d-f96da3e026fb","HARV_033.basePlot.bgc","D01","HARV",42.538302,-72.175607,"WGS84",20.22,358.8,0.2,"HARV_033",2018-04-18 16:36:00,2019-03-29,"EcoCore_CSU","HARV_033-O-31.5-30-20180418","A00000001280","HARV_033-O-31.5-30-20180418-BM","B4-36","20190329 Set 4-1","EcoCore_PLFA_SOP_v2",0.53,0.16,0,0,0,0,0,0,0,0,7.29,9.11,0,12.3,3.7,3.8,0,0,6.02,8.7,11.47,6.74,21.43,4.68,0,4.04,5.06,4.11,0,0,12.8,0,3.27,19.45,5.03,0,3.82,10.11,9.09,3.76,22.56,NA,0,4.07,3.46,0,0,0,0,5.97,NA,0,0,9.52,0,4.06,4.78,9.35,239.56,8.21,7.8,"UUHyUZEFXsxB8sFGg5Hhww==","n1ZvJKzEEAM=","c19:0 and c21:0 are spiked internal standards",NA,"1","20200602T135424Z"
